job_id,title,description,skills,rules_v2_prediction,human_label
37,QA Online,Deskripsi Pekerjaan Melakukan pengawasan dan pengendalian mutu produk secara real-time selama proses produksi berlangsung Please mention the word **GOOD** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,"quality assurance, finance",Other,Other
43,Gestionnaire administratif et financier F H,"Accueil Offres d'emploi Gestionnaire administratif et financier F/H TÃ©lÃ©chargerPDF â 27.2Ko Gestionnaire administratif et financier F/H Partager la page Veuillez pour partager sur Facebook, Twitter et LinkedIn. Partager sur Facebook Partager sur X (anciennement Twitter) - nouvelle fenÃªtre Partager sur LinkedIn Partager par email RÃ©f. RÃ©fÃ©rence : 2026-2360285 Fonction publique : Fonction publique de l'Ãtat Employeur : UniversitÃ© de Bordeaux UniversitÃ© de Bordeaux Localisation : Pessac Domaine : Finances publiques Postuler par mail Date limite de candidature : 22/08/2026 TÃ©lÃ©chargerPDF â 27.2Ko Partager la page Veuillez pour partager sur Facebook, Twitter et LinkedIn. Partager sur Facebook Partager sur X (anciennement Twitter) - nouvelle fenÃªtre Partager sur LinkedIn Partager par email Nature de lâemploi Emploi ouvert aux titulaires et aux contractuels ExpÃ©rience souhaitÃ©e ConfirmÃ© RÃ©munÃ©ration Fourchette indicative pour les contractuels 1925â¬ Ã 1995â¬ bruts /mois â¬ brut/an Fourchette indicative pour les fonctionnaires Cat. C + IFSE 287â¬ / mois si classe normale CatÃ©gorie CatÃ©gorie C (employÃ©) Management Non TÃ©lÃ©travail possible Oui Vos missions en ","analyst, design, embedded, infosec, technical, customer support, testing, dev, scheme, exec, content writing, ops, stats, recruiter, digital nomad, c, vfx, jira, marketing, web dev, scrum, quality assurance, javascript, finance, css, html, api, mobile, sys admin, engineer, virtual assistant, video, excel, go",Other,Other
289,Referent Group Finance (m/w/d),"enua ist ein ganzheitlicher Hersteller für medizinisches Cannabis in Deutschland und gehört zu den Top 3 Anbietern im Markt. Unsere Vision ist es, Menschen einen nachhaltigen Zugang zu Cannabis zu verschaffen. Wir sind ein Team von 50 motivierten Persönlichkeiten in Köln, haben über 1.000 Apotheken als Kunden und 2024 ein Umsatzniveau von 50 Millionen Euro erreicht. Als nachhaltig profitables und schnell wachsendes Unternehmen sind wir auf der Suche nach ambitionierten Mitarbeitenden, die unsere Vision, Menschen ein besseres Lebensgefühl zu schenken, teilen. Uns vereinigt die Begeisterung für schmerztherapeutische Medizin und die Vision, einen Pioniermarkt nachhaltig mitzuprägen. Wenn du diese Leidenschaft mit uns teilen möchtest, bewirb dich gerne bei enua! Als Referent Group Finance (m/w/d) bist du bei uns die Schnittstelle zwischen internem und externem Rechnungswesen: Du stellst die Konsolidierung unserer Einzelabschlüsse in LucaNet sicher und unterstützt gleichzeitig unser Group Reporting. Aufgaben Steuerung und Entwicklung von Konsolidierungsprozesse – inklusive Intercompany-Abstimmungen und -Eliminierungen mit Fokus auf effiziente, skalierbare Strukturen (u. a. in LucaNet) S",controlling,Other,Other
98,Administrative Assistant Entry Level,"Actively seeking a Remote Administrative Assistant to support daily operations by managing essential administrative tasks and maintaining well-organized systems. This fully remote role is ideal for individuals who are detail-oriented, dependable, and comfortable working within structured digital processes. In this position, you will contribute to operational efficiency by handling data management, coordinating tasks, and supporting general administrative workflows. Your ability to stay organized and complete routine tasks accurately will help ensure smooth and consistent team operations. Â Key Responsibilities: Perform data entry and maintain accurate records across internal systems Update spreadsheets, trackers, and documentation on a regular basis Organize digital files to ensure easy access and consistency Assist with scheduling, task coordination, and administrative processes Monitor assigned tasks and follow up to ensure timely completion Support internal teams by maintaining clear and up-to-date information Identify and flag missing or inconsistent data for correction Maintain clear, professional written communication Â Requirements: Strong attention to detail and accuracy Go","virtual assistant, education, customer support, marketing, video, microsoft, exec, ops, excel, data entry, jira, hr, finance, cloud, admin, legal, sys admin, recruiter",Other,Other
413,Lead IT Operations Engineer (gn),"Your mission Bikeleasing Group is one of the leading providers of modern bike‑leasing solutions, combining digital platforms, innovative services and a strongly growing ecosystem. We enable sustainable mobility – efficient, digital and customer‑centric. As Lead IT Operations Engineer (gn) , you will take on a central role within the Information Systems team and actively contribute to keeping our IT infrastructure scalable, secure, and future-proof. You will drive the shift from a support-driven IT organisation towards standardised, cloud-based, and largely automated processes – while building up the deputy function for the Head of Information Systems over time. If you enjoy taking ownership, moving things forward pragmatically, and working in a professional environment with short decision-making paths, you've come to the right place. Sounds good? We look forward to meeting you. You design, plan, implement, operate, and continuously develop complex Microsoft 365 and Azure configurations (SharePoint, Teams, Exchange, Entra, Azure) – including SSO/IdP, MFA, RBAC, Least Privilege, and Access Reviews You own Incident, Problem, and Change Management based on ITIL principles and ensure SL","remote, software development",DevOps & Cloud,DevOps & Cloud
80,Asistente de Marketing,"Â¡En Asertiva Consulting buscamos talento! Â¿Deseas asumir un nuevo reto y trabajar en una empresa preocupada por seguir creciendo? Â¡Esta puede ser la oportunidad para ti! Por encargo de nuestro cliente, importante empresa especializada en financiamiento vehicular, estamos en bÃºsqueda de un Asistente de Marketing. PERFIL Egresado o Bachiller universitario de IngenierÃ­a Industrial, AdministraciÃ³n, Marketing o carreras afines. MÃ­nimo 1 aÃ±o de experiencia en la posiciÃ³n de Practicante, Auxiliar o Asistente de Marketing o puestos afines, en el sector financiero, retail o similares. Conocimiento en Marketing digital. Dominio del idioma InglÃ©s a nivel intermedio. Please mention the word **REWARD** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","dev, design, technical, testing, exec, quality assurance, finance, java, cloud, nosql, sql, senior, sys admin, engineer, backend, digital nomad, web dev, c, excel, marketing, photoshop, illustrator, consulting, data annotation, mongodb, go",Other,Other
447,SOC Automation (Senior) Consultant (m/w/d),"It all starts with the mission: NVISO is here to protect European society from potentially devastating cyber attacks! This means we offer cyber security services to private and governmental organizations to help them better prepare for, prevent, detect and respond to cyber security incidents. All of this is built on four fundamental values that define who we are: We are Proud, We Break Barriers, We Care and No BS! Tasks As a SOC Automation (Senior) Consultant (m/w/d) located in Germany , you will help customers modernize and scale their Security Operations Center (SOC) by designing, implementing and improving automation capabilities across detection, triage, investigation and response workflows. You understand that the SOC of today is no longer driven by SOAR alone, but by a combination of AI-assisted decision support, agentic execution models, deterministic workflows and strong operational governance. You support customers in increasing efficiency, consistency and resilience in their security operations by combining the right level of automation with the right level of human oversight. You are able to translate operational SOC needs into sustainable automation strategies and pract",it security,Cybersecurity,Cybersecurity
602,Werkstudent (m/w/d) im (Online) Marketing,"Hey Little - Dein Einstieg in ein nachhaltiges Startup mit Zukunft! Du liebst Social Media, Creator Content und packende Geschichten? Perfekt! Werde Teil eines motivierten Teams, das die Art und Weise verändert, wie Familien Babyprodukte nutzen. Starte jetzt deine Karriere bei Hey Little und gestalte die Zukunft des nachhaltigen Konsums mit! Wir sind ein innovatives Unternehmen, das den Markt für Babyausstattung revolutioniert. Mit unserem innovativen Miet- und Kaufkonzept ermöglichen wir Familien maximale Flexibilität: Ob neu oder hochwertig aufbereitet - unsere Produkte können ab einem Monat gemietet oder gekauft werden. Aufgaben Gestalte mit uns die Social Media Zukunft von Hey Little! Als Werkstudent (m/w/d) im (Online) Marketing wirst du Teil unserer Marketing-Welt und unterstützt uns dabei, kreative Kampagnen, Kooperationen und Content-Ideen umzusetzen. Tauche ein in ein Umfeld, in dem du direkt mit Influencern, Brands und unserem Team zusammenarbeitest. Deine Mission Unterstütze bei der Planung, Organisation und Umsetzung von Influencer-Marketing-Kampagnen auf Instagram und TikTok Koordiniere Kooperationen mit Influencern und anderen Brands, inklusive Abstimmung, Timings und",online marketing,Other,Other
184,System Ingenieur- Integration & Tests / Funkkommunikationssysteme (m/w/x),"Projektbeschreibung: Technologie begeistert Sie? Uns auch! Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Funk- und Kommunikationsbranche suchen wir einen System Ingenieur- Integration & Tests / Funkkommunikationssysteme (m/w/x) in Festanstellung bei K-tronik. Wir freuen uns darauf, Sie persönlich kennen zu lernen - und gemeinsam mit Leidenschaft und Teamgeist an spannenden Projekten und zukunftsweisenden Technologien zu arbeiten. Aufgaben: Design und Realisierung von Funkkommunikationssystemen Analyse der technischen Anforderungen, Definition der Anwendungsfälle und Entwurf der Systemkonzepte & Test-Konzepte Entwicklung der Umgebung für die Integration / Test der System Komponenten in das Zielsystem / Zielplattform Definition der Systemtestfälle und Durchführung der Systemprüfungen im Labor und im Feld Design & Implementierung der Test-Prozeduren / Test-Automatisierung Integration der Funkkommunikationssysteme mit den Peripheriegeräten bis zur Abnahme beim Kunden Definition der Abnahmetests auf Systemebene sowie deren Erprobung unter realen Bedingungen Maßgebliche Beeinflussung unserer Produkt- und Systementwicklungen und Mitgestaltung eines wachsenden Geschäftsf",engineering,Other,Other
468,Ausbildung als Medienkauffrau*mann Digital Print (w/m/d),"Aufgaben **ÜBER UNS **Wir sind ein mehrfach ausgezeichneter Medienverlag in Berlin und produzieren crossmediale Themenmagazine. Unsere Ausgaben erscheinen regelmäßig als Beilagen in Deutschlands führenden Magazinen und Tageszeitungen (z.B. Stern, DIE ZEIT, Brigitte, Handelsblatt, CAPITAL, WirtschaftsWoche). Die Inhalte werden zudem digital aufbereitet, wodurch wir zusätzlich Reichweite generieren. Qualifikation BIST DAS DU? Du hast großes Interesse an Medien, deren Herstellung und Vertrieb Du hast Dein (Fach-)-Abitur mit guten Noten erfolgreich abgeschlossen und beherrscht die deutsche Sprache sicher in Wort und Schrift Du hast schon erste Kenntnisse im Umgang mit Gestaltungsprogrammen (Adobe Creative Suite) Du hast ein hohes Maß an Lern- und Entwicklungsbereitschaft Du hast Freude am Umgang mit Menschen und magst es im Team zu arbeiten Du bist kontakt- sowie kommunikationsfreudig Benefits WAS BIETEN WIR? Eindrücke in allen relevanten Bereichen eines Verlages Du lernst alle Abläufe von der Entstehung bis hin zur Vermarktung von Print- und Digitalprodukten kennen Du unterstützt kaufmännische und organisatorische Abläufe Aktive Zusammenarbeit mit unseren Sales Managern Dich erwartet ",marketing and communication,Other,Other
58,Technician,Company Sime Darby Motors Retail (Australia) Pty Ltd Usual description Please mention the word **SKILLFUL** and tag RMTAzLjIxLjEyNi43Ng== when applying to show you read the job post completely (#RMTAzLjIxLjEyNi43Ng==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,,Other,Other
469,IT System Engineer / Systemadministrator (m/w/d),"Gestalte komplexe IT-Systemlandschaften im Gesundheitswesen Du möchtest nicht nur Tickets bearbeiten, sondern komplexe IT-Systeme verstehen, optimieren und gemeinsam mit Kunden weiterentwickeln? Dich reizt eine Rolle, in der Systemintegration, Infrastruktur, Datenbanken, Netzwerke und Kundenkommunikation zusammenkommen? Dann erwartet Dich hier eine abwechslungsreiche Position mit viel Eigenverantwortung. Für ein etabliertes Softwareunternehmen im Bereich der Digitalisierung suchen wir einen IT System Engineer / Systemadministrator (m/w/d) . Gemeinsam mit Deinem Team sorgst Du dafür, dass moderne Enterprise-Content-Management-Lösungen (ECM) und Dokumentenmanagementsysteme (DMS) bei Kunden zuverlässig implementiert, betrieben und kontinuierlich weiterentwickelt werden. Dich erwartet eine komplexe Systemlandschaft mit zahlreichen technischen Schnittstellen und individuellen Kundenanpassungen. Statt standardisierter Routineaufgaben arbeitest Du an maßgeschneiderten Lösungen und bist technischer Ansprechpartner für Kunden – von der Implementierung über Systemerweiterungen bis hin zur Fehleranalyse und Optimierung. Aufgaben Installation, Konfiguration und Inbetriebnahme moderner Enterpri",system and network administration,DevOps & Cloud,DevOps & Cloud
320,Projektmanager (m/w/d) Wegerecht und Flächensicherung - Erneuerbare Energien,"Du willst die Energiewende nicht nur begleiten – du willst sie aktiv gestalten? Dann bist du bei uns genau richtig. Wir entwickeln und realisieren Projekte im Bereich Windenergie, Photovoltaik, Batteriespeicher (BESS) und Stromtrassen – und treiben damit die Energiewende aktiv voran. Für unser wachsendes Team suchen wir eine erfahrene Koordinationspersönlichkeit, die unsere Flächensicherungsprozesse strukturiert und zuverlässig steuert. Bewirb Dich noch heute und komm in unser Team! Aufgaben Gesamtverantwortung für die Steuerung und das Monitoring aller Flächensicherungs- und Wegerechtsverfahren Enge Abstimmung mit dem Außendienstteam (Flächenakquisiteure) sowie internen Fachabteilungen (Legal, Projektentwicklung, Genehmigung) Begleitung und Qualitätssicherung von Vertragsverhandlungen zu Pacht-, Gestattungs- und Dienstbarkeitsverträgen Erstellung von Projektplänen, Statusberichten und KPI-Reportings an das Management Pflege des Flächenregisters sowie Fristenmanagement (Optionen, Laufzeiten, Verlängerungen) Ansprechpartner für Notare, Behörden und Grundbuchämter Qualifikation Abgeschlossenes technisches und betriebswirtschaftliches Studium, z.B. Wirtschaftsingenieurwesen mit dem Sc",project management,Product & Management,Product & Management
99,Data Entry Specialist Assistant Administrator,"Remote Data Entry Specialist - Assistant Administrator Work Mode: Remote We are seeking a Remote Data Entry Specialist - Assistant Administrator to support data management and administrative operations across our organization. This fully remote role is ideal for individuals who are detail-oriented, organized, and comfortable handling both data entry tasks and general administrative support responsibilities. In this role, you will assist with maintaining accurate records, updating internal systems, and supporting day-to-day administrative workflows. Your ability to manage data with precision while staying organized across multiple tasks will contribute directly to operational efficiency and reliable information management. Â Â Job Responsibilities: Â 1) Data Entry and Record Management Input, update, and maintain data across spreadsheets, databases, and internal systems Verify data accuracy and ensure records are complete and up to date Organize and maintain structured digital files and datasets Identify and correct inconsistencies or errors in data 2) Administrative Support and Coordination Assist with routine administrative tasks and internal processes Maintain trackers, logs, and","virtual assistant, education, customer support, marketing, video, microsoft, exec, ops, excel, data entry, jira, hr, finance, cloud, admin, legal, sys admin, recruiter, macos, infosec, technical, dev, scrum, digital nomad, travel",Other,Other
241,Senior Consultant SAP SD (m/w/d) S/4HANA Sales,"Wir sind die Berater der Weltmarktführer: Hochmotivierte Expertinnen und Experten, die als erfolgreiches Team digitale End-to-End-Geschäftsprozesslösungen vorantreiben. Gemeinsam stärken wir die Zukunft der beeindruckendsten Unternehmen der Welt aus Maschinen- und Anlagenbau, Automotive, Life Science, Pharma und Chemie, mit denen wir viel gemeinsam haben. Unser ausgezeichneter Ruf bei Hidden Champions öffnet Dir die Türen für anspruchsvolle Projekte mit einzigartigen Gestaltungsmöglichkeiten. Werde Teil einer der besten und verlässlichsten Beratungen und nutze vielfältige Entwicklungschancen. Als engagiertes Teammitglied kannst Du bei uns schnell Verantwortung übernehmen und über Dich hinauswachsen. Du triffst auf ein starkes Team, das zusammenhält und wirklich etwas bewegen will. Als SAP & Prozessberater im Supply Chain & Manufacturing realisieren wir mit unseren Kunden eine gemeinsame Vision: Eine wettbewerbsfähige, intelligente und resiliente Supply Chain, die den Champions der Fertigungsindustrie nachhaltiges Wachstum in einem unsicheren Umfeld ermöglicht. Unsere SSCM Practice verbindet strategische Business Beratung mit tiefgreifender Umsetzungskompetenz in der IT - von der St","consulting, high school coursework",Software Engineering,Other
